nome,booking_link,indirizzo,rating,n_reviews,staff,servizi,pulizia,comfort,rapporto qualità prezzo,posizione,wifi gratuito,comune,stato,CAP,first_word_number,info_indirizzo,località
Belandin Ristorante Hotel,https://www.booking.com/hotel/it/ristorante-pensione-belandin.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90ZWdsaW9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsWui6QGwAIB0gIkZDQ3MzQ0NGQtYTg4Ny00Mjc5LTkwYmItNDJhY2RjZmI0Njg22AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=303b35e251a40183&srepoch=1686296390&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,via casa scranzi 28,"8,2",154 recensioni,"8,9","8,2","8,7","8,3","8,8","8,0","8,6",Teglio,Italia,23036.0,False,,
Hotel Duc De Rohan,https://www.booking.com/hotel/it/duc-de-rohan.it.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9saXZpZ25vSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKk0oukBsACAdICJGQ5OWQ0Yjk5LWI4ZDItNGIxZS1iMGRlLTIxMTU0M2U5NTA0NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=794&sr_order=popularity&srpvid=68053ef4348a039b&srepoch=1686301159&from=searchresults#hotelTmpl,ss301 445,"8,8",115 recensioni,"9,4","8,8","9,4","9,2","8,3","8,6",10,Livigno,Italia,23041.0,False,,
Hotel Miravalle,https://www.booking.com/hotel/it/miravalle-valdidentro.it.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF92YWxkaWRlbnRyb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC9P6LpAbAAgHSAiQ0MjBkOGNlOC00OTJhLTRlZGItYjI3YS1mZmRjYjZjZjc2YTnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=77&sr_order=popularity&srpvid=a2bb49faef6901c7&srepoch=1686306704&from=searchresults#hotelTmpl,piazza sant'abbondio 3,"8,1",254 recensioni,"8,8","8,2","8,7","8,3","7,9","8,3","7,5",Valdidentro,Italia,23038.0,False,, semogo
Il Meglio al Minimo,https://www.booking.com/hotel/it/il-meglio-al-minimo.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9sZWNjb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC0riLpAbAAgHSAiRjMDg1YWFjNC02YzVmLTQzNjItYTE5Yi0xNTA2NjQxNWZlMTLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=bddc3869c98a003b&srepoch=1686297683&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,via bicocca 38,"8,6",154 recensioni,"9,1","8,6","9,2","8,7","9,2","9,0","9,3",Lecco,Italia,23900.0,False,,
Eurohotel Mountain Wellness,https://www.booking.com/hotel/it/eurohotel-meeting-amp-wellness.it.html?aid=304142&label=gen173nr-1FCAQoggJCH3NlYXJjaF9jYXN0aW9uZSBkZWxsYSBwcmVzb2xhbmFIFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AunFi6QGwAIB0gIkOTgzY2U5OTYtNGU2ZC00ZDhlLTljMGQtZGI5NWQ4YTdiY2Ji2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=54a23bb4e7840230&srepoch=1686299370&from=searchresults#hotelTmpl,via provinciale 36,"8,3",50 recensioni,"9,2","8,8","9,3","9,2","8,1","8,6","7,5",Castione della Presolana,Italia,24020.0,False,,
Residenza Eleonora,https://www.booking.com/hotel/it/residenza-eleonora.it.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF90ZW11SBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkwYukBsACAdICJDEyZTAzOWNkLTJhMmUtNDIxNS1hODE2LWJhODA3NGJmOGNlONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&srpvid=3e1e3a925b2e0255&srepoch=1686298800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,via saletti 40,"9,5",23 recensioni,"9,9","9,3","9,6","9,8","8,8","9,8",,Temù,Italia,25050.0,False,,
Lovely bright apartment in Barzio center,https://www.booking.com/hotel/it/lovely-bright-apartment-in-barzio-center.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXJ6aW9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4As-3i6QGwAIB0gIkYTI5Mjk2YjYtNTc1NS00Y2E3LWE0N2ItMWI3OGI3ZDllYzI42AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=45543827ebf5027c&srepoch=1686297553&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Via Francesca Manzoni 7,"8,5",2 recensioni,"8,8","8,8","8,8","8,8","8,8","7,5",,Barzio,Italia,23816.0,True,,
Hotel Garni Pegrà,https://www.booking.com/hotel/it/garni-pegra.it.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9wb250ZSBkaSBsZWdub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC7PeLpAbAAgHSAiQxNzVkZjU5Ny00MmZkLTQ4NmMtOTFhOC1lODg3ODAxMTFjNGXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c31548362a3a0413&srepoch=1686305774&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,via nazionale 11,"7,9",1.213 recensioni,"7,5","8,0","8,6","8,5","7,7","8,7","7,6",Ponte di Legno,Italia,25056.0,False,,
Casa Felice,https://www.booking.com/hotel/it/casa-felice-valfurva.it.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF92YWxmdXJ2YUgUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCjMOLpAbAAgHSAiQzZTVlMGEyNS1iODM3LTQzOTYtYTAwNy02ZTM1MDUxNDRlY2TYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=c0883b06c41d000e&srepoch=1686299021&from=searchresults#hotelTmpl,Via San Nicolò 86,"9,2",5 recensioni,10,10,10,"9,5","9,5","9,0",,Valfurva,Italia,23030.0,True,,
Agriturismo Ca' di Racc,https://www.booking.com/hotel/it/agriturismo-ca-39-di-racc.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9ncm9tb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCqq6LpAbAAgHSAiQxNjJkMWIwMi1iM2I0LTQwZWYtYTM1Yi00NzNhNzRkZjA0YTDYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7b1a35d5ed9f02ba&srepoch=1686296363&from=searchresults#hotelTmpl,,"8,9",33 recensioni,"9,2","9,1","9,8","9,1","8,9","9,2","5,0",Gromo,Italia,24020.0,False,, selvadagnone snc
