titles,type,google_ratings,google_reviews,google_price,locations,città,lng,lat,data_source
Ristorante Rose & Sapori a Desenzano del Garda,·  · Ristorante,"4,7",(494),€€€,"Lungolago Cesare Battisti, 89",collio,10.33333286,45.81116683,google
Tami' Ristorante Trattoria Di Lazzari Mauro S.A.S.,·  · Ristorante,"4,6",(335),€€,"Piazza Giuseppe Zanardelli, 9",collio,10.33333286,45.81116683,google
Ristorante Residence Park,· Ristorante,"5,0",(1),price not available,"Via Federico Bagozzi, 10",collio,10.33333286,45.81116683,google
Bar Catullo,·  · Bar,"4,6",(82),€,"Piazza Giuseppe Zanardelli, 61",collio,10.33333286,45.81116683,google
Albergo Ristorante Belvedere,· Ristorante,"4,4",(131),price not available,"Via Maniva, 75",collio,10.33333286,45.81116683,google
Rifugio Blachì 1,· Ristorante,"3,7",(23),price not available,Collio BS,collio,10.33333286,45.81116683,google
Tonassi Ottavio,· Ristorante,not available,not available,price not available,"Via Federico Bagozzi, 99",collio,10.33333286,45.81116683,google
Wild Café,· Bar caffè,"4,8",(11),price not available,"Piazza Giuseppe Zanardelli, 55",collio,10.33333286,45.81116683,google
Ristorante Pizzeria Pattinaggio,·  · Ristorante,"4,6",(234),€€,San Colombano BS,collio,10.33333286,45.81116683,google
Bar Loretta,· Bar,"4,5",(4),price not available,"Piazza Giuseppe Zanardelli, 7",collio,10.33333286,45.81116683,google
Cucina Di Montagna Ristorante Snack Bar,· Ristorante,"4,0",(1),price not available,"Via Maniva, 256",collio,10.33333286,45.81116683,google
Albergo Ristorante Pineta,· Ristorante,"4,0",(192),price not available,"Via Maniva, 253/a",collio,10.33333286,45.81116683,google
Trattoria Miravalle,· Cucina tradizionale,"3,6",(5),price not available,Via Maniva,collio,10.33333286,45.81116683,google
Rifugio Blachì 2,· Ristorante,"3,4",(20),price not available,Collio BS,collio,10.33333286,45.81116683,google
Pizzeria Cielo Alto,· Pizza,"4,3",(53),price not available,"Via Maniva, Passo Maniva, 254",collio,10.33333286,45.81116683,google
Aglio e Oglio ROGNO,·  · Ristorante,"4,2",(678),€€,"Via Montegrappa, 1",rogno,10.13343949,45.85782003,google
Pizzeria Le Betulle,·  · Pizza,"4,5",(316),€€,"Largo Aldo Moro, 10",rogno,10.13343949,45.85782003,google
SUSHI ZY RISTORANTE GIAPPONESE GRIGLIA CINESE,·  · Giapponese,"4,4",(301),€€,"Via Vittorio Veneto, 12",rogno,10.13343949,45.85782003,google
Millennium MA. LU,·  · Pizza,"4,5",(52),€,"Via Nazionale, 25",rogno,10.13343949,45.85782003,google
PIZZERIA SPEEDY,· Pizza,"4,3",(71),price not available,"Via S. Caterina da Siena, 4",rogno,10.13343949,45.85782003,google
Ristorante Gli Spiazzi,·  · Ristorante,"4,4",(157),€,"Via Bartolomeo Colleoni, 1",rogno,10.13343949,45.85782003,google
Trattoria Beatì,·  · Cucina tradizionale,"4,5",(1135),€,Artogne BS,rogno,10.13343949,45.85782003,google
Albergo Ristorante Airone,· Hotel,"4,0",(318),price not available,Darfo Boario Terme BS,rogno,10.13343949,45.85782003,google
Osteria Di Bacco,·  · Ristorante,"4,6",(240),€€,Gianico BS,rogno,10.13343949,45.85782003,google
Ristorante Al Campanile,·  · Ristorante,"4,5",(473),€€,Darfo Boario Terme BS,rogno,10.13343949,45.85782003,google
Baita Termen,· Ristorante,"4,3",(1229),price not available,Castione della Presolana BG,rogno,10.13343949,45.85782003,google
La Ruota Blu Ristorante Pizzeria,·  · Ristorante,"4,0",(838),€€,Pian Camuno BS,rogno,10.13343949,45.85782003,google
Trani Braceria Pizzeria,·  · Ristorante,"4,5",(698),€€,Pisogne BS,rogno,10.13343949,45.85782003,google
Tentazioni Ristorante,·  · Italiana,"4,7",(875),€€,Costa Volpino BG,rogno,10.13343949,45.85782003,google
La Tana Da Mario,· Italiana,"4,4",(958),price not available,Gianico BS,rogno,10.13343949,45.85782003,google
Osteria Gabossi,·  · Ristorante,"4,6",(520),€€,Darfo Boario Terme BS,rogno,10.13343949,45.85782003,google
Osteria Spirito Di Vino,·  · Ristorante,"4,5",(404),€€€,Lovere BG,rogno,10.13343949,45.85782003,google
Pinocchio,·  · Ristorante,"4,2",(1529),€€,Lovere BG,rogno,10.13343949,45.85782003,google
Osteria Contini,·  · Ristorante,"4,7",(177),€€€,Angolo Terme BS,rogno,10.13343949,45.85782003,google
Osteria Carlì - Pisogne,· Cucina tradizionale,"4,3",(154),price not available,Fraine BS,rogno,10.13343949,45.85782003,google
Ristorante Le Motte,·  · Ristorante,"4,4",(1883),€€,"Località le Motte, Via alla Corva, 3",valdisotto,10.35511049,46.43167153,google
Ristorante Pizzeria La Krapena,·  · Pizza,"4,3",(423),€€,"Via Nazionale, 31B",valdisotto,10.35511049,46.43167153,google
Bar Ristoro Laghetti,·  · Ristorante,"4,4",(376),€€,localita' Laghetti della Rocca,valdisotto,10.35511049,46.43167153,google
Campeggio Ristorante Pizzeria Cima Piazzi,·  · Ristorante,"4,3",(917),€€,"Via Nazionale, 29",valdisotto,10.35511049,46.43167153,google
Ristoro San Colombano,·  · Bar,"4,3",(161),€€,Località S. Colombano,valdisotto,10.35511049,46.43167153,google
Rifugio Alpino Baita Motin,· Ristorante,"4,5",(292),price not available,Via Crap del Maro,valdisotto,10.35511049,46.43167153,google
Baita de Mario,· Ristorante,"4,4",(318),price not available,Localita' Ciuk 8,valdisotto,10.35511049,46.43167153,google
Albergo Ristorante San Pietro,· Hotel,"4,4",(105),price not available,"Via S. Pietro, 2",valdisotto,10.35511049,46.43167153,google
Enoteca Guanella e Ristorante dell'Enoteca,·  · Ristorante,"4,7",(398),€€,Bormio SO,valdisotto,10.35511049,46.43167153,google
Osteria La Bajona,·  · Ristorante,"4,5",(821),€€,Bormio SO,valdisotto,10.35511049,46.43167153,google
Ciuk Aprés Ski,·  · Ristorante,"4,6",(349),€€,Località Ciuk 6,valdisotto,10.35511049,46.43167153,google
Ristorante Gallo Cedrone,·  · Ristorante,"3,9",(227),€€,"Via Bucellina, 8",valdisotto,10.35511049,46.43167153,google
Ristorante & Pizzeria Eira (B&B),· Ristorante,"4,4",(708),price not available,Bormio SO,valdisotto,10.35511049,46.43167153,google
Ristorante Pizzeria Fior D’Alpe Bormio | Forno a legna e cucina tipica valtellinese,· Ristorante,"4,4",(84),price not available,Valdidentro SO,valdisotto,10.35511049,46.43167153,google
Hotel al Forte,· Hotel,"4,3",(218),price not available,"Via al Forte, 60",valdisotto,10.35511049,46.43167153,google
Osteria Il Triciclo,·  · Ristorante,"4,5",(333),€€,"a, Via Roma, 27",valdisotto,10.35511049,46.43167153,google
Ristorante Chalet dei Rododendri,· Ristorante,"4,4",(469),price not available,Località La Rocca,valdisotto,10.35511049,46.43167153,google
Chiosco da Michele,·  · Ristorante,"4,7",(206),€,"Via Bormio, Localita' Bormio 2000, 1",valdisotto,10.35511049,46.43167153,google
Ristorante tipico valtellinese La Rasiga Bormio,·  · Ristorante,"4,4",(1395),€€,Bormio SO,valdisotto,10.35511049,46.43167153,google
Chalet La Rocca Ristorante Pizzeria,·  · Ristorante,"4,5",(548),€€,Bormio SO,valdisotto,10.35511049,46.43167153,google
Ristorante Gavioli,·  · Cucina raffinata,"4,8",(299),€€€,Bormio SO,valdisotto,10.35511049,46.43167153,google
Oliver American Restaurant,·  · Griglia,"4,2",(2320),€€,Bormio SO,valdisotto,10.35511049,46.43167153,google
Albergo Ristorante Pizzo Tre Signori,· Hotel,"4,3",(195),price not available,not available,valtorta,9.53500677,45.9775777,google
