titles,rating,price,comments,locations,CAP,city,lng,lat,reference,data_source,url,contact,type
Italian Bistrot & Pizzeria,4.5/5,Prezzo medio 25€,115 recensioni,Corso Giuseppe Zanardelli,25083.0,Gardone Riviera,10.55799486,45.62009093,bagolino,the_fork,,,
Il Fiore di Zucca,4.5/5,Prezzo medio 40€,576 recensioni,Via Trieste  16,25083.0,Gardone Riviera,10.55799486,45.62009093,bagolino,the_fork,,,
Corte del Mago,4.8/5,Prezzo medio 50€,795 recensioni,Via Ostiglia  3,25134.0,Brescia,10.21910323,45.53993052,pisogne,the_fork,,,
Barrique,4.3/5,Prezzo medio 22€,1.103 recensioni,Contrada del Carmine  47,25122.0,Brescia,10.21910323,45.53993052,pisogne,the_fork,,,
Nuovo Inizio,4.3/5,Prezzo medio 30€,146 recensioni,Via Conicchio  45,25136.0,Brescia,10.21910323,45.53993052,pisogne,the_fork,,,
Asanka African,4.6/5,Prezzo medio 15€,46 recensioni,Via Pusterla  4b,25128.0,Brescia,10.21910323,45.53993052,pisogne,the_fork,,,
QBR Quei Bravi Ragazzi,4.6/5,Prezzo medio 30€,366 recensioni,Via Paolo Veronese  28 (ingresso da via Botticelli  fronte questura),25124.0,Brescia,10.21910323,45.53993052,pisogne,the_fork,,,
L'officina - Drink & Restaurant,4.6/5,Prezzo medio 25€,433 recensioni,Via S. Faustino  63,25122.0,Brescia,10.21910323,45.53993052,pisogne,the_fork,,,
Pizzomunno,4.4/5,Prezzo medio 19€,22 recensioni,Vicolo Cantine  8,25049.0,Iseo,10.05004398,45.65982928,pisogne,the_fork,,,
Locanda degli Artisti,4.7/5,Prezzo medio 23€,138 recensioni,Via Monte Grappa  6,25050.0,Iseo,10.05004398,45.65982928,pisogne,the_fork,,,
Bistrot Domenighini al Landò,4.8/5,Prezzo medio 24€,53 recensioni,Via Stazione  1,25047.0,Darfo Boario Terme,10.18048381,45.88347362,angolo terme,the_fork,,,
Alisani Bistrò,4.7/5,Prezzo medio 25€,280 recensioni,Via Leno  6,25021.0,Bagnolo Mella,10.17928028,45.42902132,pisogne,the_fork,,,
Ristorante Venturelli,4.8/5,Prezzo medio 28€,252 recensioni,Via Roma  9,25042.0,Borno,10.20580785,45.94679424,borno,the_fork,,,
Hollywood Cafè,3.8/5,Prezzo medio 20€,54 recensioni,Via Gardesana  87,25080.0,Prevalle,10.42121638,45.54705532,collio,the_fork,,,
Dina,4.8/5,Prezzo medio 80€,426 recensioni,Via S. Croce  1,25064.0,Gussago,10.15314832,45.59242495,pisogne,the_fork,,,
Casa dei Pescatori,4.6/5,Prezzo medio 35€,1.002 recensioni,Via XXV Aprile 71,25019.0,Sirmione,10.60946835,45.46231487,bagolino,the_fork,,,
MoS Ristorante,4.7/5,Prezzo medio 55€,215 recensioni,Via Porto Vecchio  28,25015.0,Desenzano del Garda,10.5415883,45.46858257,bagolino,the_fork,,,
Agriturismo la Freschera,4.6/5,Prezzo medio 25€,927 recensioni,Via Cascina Invillo,24060.0,Parzanica,10.03589843,45.73811128,pisogne,the_fork,,,
Vistrò - Wine & Bistrò,4.7/5,Prezzo medio 30€,50 recensioni,Via IV Novembre  29  Bergamo,24029.0,Vertova,9.84987255,45.80858625,selvino,the_fork,,,
Agriturismo Ippolita Lucchetti,4.6/5,Prezzo medio 35€,1.064 recensioni,Via Valle Rossa  104,24020.0,Cene,9.82557194,45.77943252,selvino,the_fork,,,
La Baita,4.8/5,Prezzo medio 30€,400 recensioni,Via Cerrete  8,24060.0,Solto Collina,10.02592875,45.78223969,pisogne,the_fork,,,
Riccardo Restaurant,4.6/5,Prezzo medio 37€,532 recensioni,Via Lantieri  16,24067.0,Sarnico,9.95835303,45.66799802,pisogne,the_fork,,,
Osteria Olio Birtolo,4.6/5,Prezzo medio 45€,197 recensioni,Via Broseta  3,24122.0,Bergamo,9.66842453,45.69441368,selvino,the_fork,,,
Rush Ristopub Live Music,4.2/5,Prezzo medio 20€,298 recensioni,Via Antonia Ponti  22,24126.0,Bergamo,9.66842453,45.69441368,selvino,the_fork,,,
Sushify Restaurant,5.0/5,Prezzo medio 35€,3 recensioni,Via Angelo Maj  18,24121.0,Bergamo,9.66842453,45.69441368,selvino,the_fork,,,
Gambero Rosso,4.8/5,Prezzo medio 40€,132 recensioni,Via della Fara  17,24129.0,Bergamo,9.66842453,45.69441368,selvino,the_fork,,,
Dal Carlo,4.5/5,Prezzo medio 30€,20 recensioni,Via S. Lazzaro  8,24122.0,Bergamo,9.66842453,45.69441368,selvino,the_fork,,,
Il Ducale,4.4/5,Prezzo medio 40€,22 recensioni,Via Costantino Beltrami  12/B,24129.0,Bergamo,9.66842453,45.69441368,selvino,the_fork,,,
Un Tavolino sullo Stretto,4.8/5,Prezzo medio 30€,118 recensioni,Via F. Corridoni 83,24124.0,Bergamo,9.66842453,45.69441368,selvino,the_fork,,,
Tausami,4.6/5,Prezzo medio 30€,200 recensioni,Via Zambonate  69,24122.0,Bergamo,9.66842453,45.69441368,selvino,the_fork,,,
Alba,4.8/5,Prezzo medio 35€,252 recensioni,Via Don Luigi Palazzolo  38,24122.0,Bergamo,9.66842453,45.69441368,selvino,the_fork,,,
