attrezzature,attrezzature_lingue,bagni,booking_link,camere,categoria,classificazione,comfort,denominazione_struttura,email,fax,first_word_number,geo_x,geo_y,id_struttura,info_indirizzo,latitude,letti,longitude,n_reviews,nome,posizione,provincia,pulizia,rapporto qualità prezzo,rating,servizi,staff,stato,tel,wifi gratuito,comune,Indirizzo,Cap,Località
"Bar,Custodia valori in cassaforte,Parcheggio non custodito,Ristorante,Sala lettura separata,Sala televisione separata","Francese,Inglese",1.0,https://www.booking.com/hotel/it/square-apartment-brescia.it.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9wb250ZSBkaSBsZWdub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC7PeLpAbAAgHSAiQxNzVkZjU5Ny00MmZkLTQ4NmMtOTFhOC1lODg3ODAxMTFjNGXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=c31548362a3a0413&srepoch=1686305774&from=searchresults#hotelTmpl,2.0,Complementari,Locazione turistica non imprenditoriale,"8,8",martini elena,e.martiniponte@gmail.com,309225098,False,0.0,0.0,595149529,,0.0,6.0,0.0,4 recensioni,square apartment,"8,1",BS,"9,4","8,8","9,2","9,4","9,4",Italia,30927159,,collio,vicolo alpi 10,25056.0,San Colombano
"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Bar,Custodia valori in cassaforte,Giochi per bambini,Lavaggio e stiratura biancheria,Parcheggio non custodito,Parco o giardino,Pulizia calzature,Ristorante,Ristorante vegetariano,Sala televisione separata,Trasporto clienti stazione",,1.0,https://www.booking.com/hotel/it/casa-del-cedro-cedar-house.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9sZWNjb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC0riLpAbAAgHSAiRjMDg1YWFjNC02YzVmLTQzNjItYTE5Yi0xNTA2NjQxNWZlMTLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=138&sr_order=popularity&srpvid=bddc3869c98a003b&srepoch=1686297718&from=searchresults#hotelTmpl,1.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"9,0",cav casa del cedro di salvatore giorgia,casadelcedro.lecco@gmail.com,,False,5.31315324743999e+17,5.0786362799699904e+17,23926507,,5.07863627996999e+17,2.0,5.31315324743999e+17,31 recensioni,casa del cedro - cedar house,"8,5",LC,"9,1","8,6","8,6","8,7","9,4",Italia,30927390,10,collio,via marsala 20,23900.0,OLATE
"Access. diversamente abili parziale,Accettazione animali domestici,Accettazione gruppi,Ascensore,Bar,Custodia valori in cassaforte,Parco o giardino,Ristorante,Sala televisione separata",Francese,22.0,https://www.booking.com/hotel/it/genzianella-chiesa-in-valmalenco.it.html?aid=304142&label=gen173nr-1FCAQoggJCG3NlYXJjaF9jaGllc2EgaW4gdmFsbWFsZW5jb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCrvyLpAbAAgHSAiRkM2U1ZGZhMC0wNThjLTQ2MzQtOWM5ZC0yMmY3NmRmNTk0MjnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=bb1b49576ad4010f&srepoch=1686306352&from=searchresults#hotelTmpl,16.0,Alberghiere,Alberghi 3 stelle,"8,8",genzianella,info@hgenzianella.com,0342 451181,False,5.65709673793999e+17,5.12494466406e+17,9745711,,5.12494466406e+17,42.0,5.65709673793999e+17,111 recensioni,hotel genzianella,"9,0",SO,"9,1","8,4","8,4","8,5","9,4",Italia,0342 451181,,collio,via funivia 31,23023.0,
"Accesso a mezzi pubblici,Accettazione animali domestici,Frigorifero","Francese,Inglese",1.0,https://www.booking.com/hotel/it/camera-doppia-divano-letto-vicino-ponte-di-legno.it.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF90ZW11SBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkwYukBsACAdICJDEyZTAzOWNkLTJhMmUtNDIxNS1hODE2LWJhODA3NGJmOGNlONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=39&sr_order=popularity&srpvid=3e1e3a925b2e0255&srepoch=1686298800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"8,8",milla 9f,paolobazzana75@gmail.com,,False,6.14422566209999e+17,5.1232043039899904e+17,131476333,10c piano terra,5.12320430398999e+17,8.0,6.14422566209999e+17,55 recensioni,camera milla - private room -t04416,"8,1",BS,"9,0","8,1","8,3","8,5","9,2",Italia,3924377232,10,collio,via nazionale 10,25050.0,San Colombano
"Accesso a vetture private,Bar,Ristorante",,1.0,https://www.booking.com/hotel/it/appartamenti-lecco.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9sZWNjb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC0riLpAbAAgHSAiRjMDg1YWFjNC02YzVmLTQzNjItYTE5Yi0xNTA2NjQxNWZlMTLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=bddc3869c98a003b&srepoch=1686297683&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2.0,Complementari,Case ed appartamenti per vacanze gestiti in forma imprenditoriale,"7,7",cav appartamento 6 di casa ideale,casaidealemilano@gmail.com,30927320,True,5.30973491999999e+17,5.079363644e+17,624756993,,5.079363644e+17,4.0,5.30973491999999e+17,391 recensioni,appartamenti casa ideale lecco,"7,5",LC,"7,7","8,1","7,3","7,4","7,4",Italia,30927320,,collio,via gorizia 54,23900.0,San Colombano
"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione gruppi,Ascensore,Bar,Parcheggio non custodito,Parco o giardino,Ristorante,Sala lettura separata",,16.0,https://www.booking.com/hotel/it/casa-colturi.it.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF92YWxkaXNvdHRvSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAK7qoukBsACAdICJGRkOTQxYWMxLWY2NjMtNGE1ZS04NTViLTA3ZWU3ZmZhNTI2ZtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=5f4c34dd0c7d0002&srepoch=1686295868&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,0.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"9,7",casa colturi,gotros@gmail.com,30927259,False,6.04126171189e+17,5.1438014505099904e+17,65348311,,5.14380145050999e+17,10.0,6.04126171189e+17,55 recensioni,casa colturi,"9,0",SO,"9,6","9,1","9,3","9,3","9,3",Italia,3488622470,"7,5",collio,via carpin 11,25060.0,
,,1.0,https://www.booking.com/hotel/it/ca-39-del-michelas.it.html?aid=304142&label=gen173nr-1FCAQoggJCG3NlYXJjaF9zYW4gcGVsbGVncmlubyB0ZXJtZUgUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC4ayLpAbAAgHSAiQ5NzlkNTE1Ni04MWZlLTQ5OTUtYjNhNS0wZmMzYjU0YmRmYjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=414f357089c80185&srepoch=1686296163&from=searchresults#hotelTmpl,2.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"9,1",ca' del michelas,info@cadelmichelas.it,30927207,False,5.51613013243e+17,5.0770098556199904e+17,13437276,,5.07700985561999e+17,6.0,5.51613013243e+17,80 recensioni,ca' del michelàs,"8,9",BG,"9,3","9,2","8,8","8,9","9,6",Italia,0345 22407,10,collio,via torre 4,24016.0,
"Accesso a mezzi pubblici,Accesso a vetture private,Accettazione gruppi,Bar,Parcheggio non custodito,Ristorante","Inglese,Tedesco",2.0,https://www.booking.com/hotel/it/sole-e-luna-valdidentro.it.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF92YWxkaWRlbnRyb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC9P6LpAbAAgHSAiQ0MjBkOGNlOC00OTJhLTRlZGItYjI3YS1mZmRjYjZjZjc2YTnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=a2bb49faef6901c7&srepoch=1686306678&from=searchresults#hotelTmpl,0.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"9,8",bradanini lorenza,roccabradanini@gmail.com,30927642,False,1.03396319999999e+17,4.6484682999999904e+17,65348327,,4.64846829999999e+17,7.0,1.03396319999999e+17,15 recensioni,soleluna,"9,0",SO,"9,8","9,3","9,7","9,7","9,8",Italia,3391035530,10,collio,via borgonuovo 22b,25060.0,
,"Francese,Inglese,Tedesco",1.0,https://www.booking.com/hotel/it/appartamenti-lecco.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9sZWNjb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC0riLpAbAAgHSAiRjMDg1YWFjNC02YzVmLTQzNjItYTE5Yi0xNTA2NjQxNWZlMTLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=bddc3869c98a003b&srepoch=1686297683&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2.0,Complementari,Case ed appartamenti per vacanze gestiti in forma imprenditoriale,"7,7",cav appartamento 11 di casa ideale,casaidealemilano@gmail.com,309280876,True,5.30973491999999e+17,5.079363644e+17,625336046,,5.079363644e+17,6.0,5.30973491999999e+17,391 recensioni,appartamenti casa ideale lecco,"7,5",LC,"7,7","8,1","7,3","7,4","7,4",Italia,309220911,,collio,via gorizia 54,23900.0,RANCIO
"Access. diversamente abili parziale,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Ascensore,Autorimessa,Bar,Custodia valori in cassette sicurezza,Lavaggio e stiratura biancheria,Parcheggio custodito,Parco o giardino,Ristorante,Sala televisione separata","Francese,Inglese,Tedesco",16.0,https://www.booking.com/hotel/it/casa-zebrusius-zebrusius-39-s-app.it.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF92YWxmdXJ2YUgUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCjMOLpAbAAgHSAiQzZTVlMGEyNS1iODM3LTQzOTYtYTAwNy02ZTM1MDUxNDRlY2TYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=c0883b06c41d000e&srepoch=1686299021&from=searchresults#hotelTmpl,0.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),10,casa zebrusius,casa.zebrusius@virgilio.it,309280876,False,6.0814331665e+17,5.14640230953e+16,65347586,,5.14640230953e+16,3.0,6.0814331665e+17,6 recensioni,casa zebrusius - zebrusius's app,"9,2",SO,10,10,"9,8",10,10,Italia,3331232076,,collio,piazza bardea 3,25060.0,
