name,url,rating,price,contact,via,CAP,comune
Bar Pasticceria Marika,https://www.tripadvisor.it/Restaurant_Review-g644255-d7131438-Reviews-Bar_Pasticceria_Marika-Selvino_Province_of_Bergamo_Lombardy.html,3.5,fascia media,+393932505982,Corso Milano 17 ,24020, Selvino
Ristorante Sorriso,https://www.tripadvisor.it/Restaurant_Review-g644255-d2101854-Reviews-Ristorante_Sorriso-Selvino_Province_of_Bergamo_Lombardy.html,4.5,cucina raffinata,+39035763104,Via Talpino 79 ,24020, Selvino
Pizzeria Birreria Roma,https://www.tripadvisor.it/Restaurant_Review-g644255-d2263032-Reviews-Pizzeria_Birreria_Roma-Selvino_Province_of_Bergamo_Lombardy.html,3.5,fascia media,+39035763012,Via Monte Alben 13 ,24020, Selvino
Ca' di Bore,https://www.tripadvisor.it/Restaurant_Review-g966813-d3211187-Reviews-Ca_di_Bore-Aviatico_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+39035779167,Via Cantul 38 ,24020, Aviatico
A Casa del Contadino,https://www.tripadvisor.it/Restaurant_Review-g644255-d5964382-Reviews-A_Casa_del_Contadino-Selvino_Province_of_Bergamo_Lombardy.html,4.0,cibo economico,+39035764202,Corso Milano 91 ,24020, Selvino
Al CAntuccio,https://www.tripadvisor.it/Restaurant_Review-g644255-d4606573-Reviews-Al_CAntuccio-Selvino_Province_of_Bergamo_Lombardy.html,3.5,cibo economico,+39035764188,Via Vulcano 18 ,24020, Selvino
Mc Keown Pub,https://www.tripadvisor.it/Restaurant_Review-g644255-d5617413-Reviews-Mc_Keown_Pub-Selvino_Province_of_Bergamo_Lombardy.html,3.5,cibo economico,+393484791053,Corso Milano 4 ,24020, Selvino
Pasticceria Caffetteria Gelateria Del Piccinini,https://www.tripadvisor.it/Restaurant_Review-g644255-d6995975-Reviews-Pasticceria_Caffetteria_Gelateria_Del_Piccinini-Selvino_Province_of_Bergamo_Lomba.html,4.0,fascia media,+39035764391,Via Daniele Piccinini 3 ,24020, Selvino
La Ruota,https://www.tripadvisor.it/Restaurant_Review-g644255-d4045365-Reviews-La_Ruota-Selvino_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+39035765192,Via Gennaro Sora 3 ,24020, Selvino
BAR PIZZERIA TENNIS,https://www.tripadvisor.it/Restaurant_Review-g644255-d3411841-Reviews-Bar_Pizzeria_Tennis-Selvino_Province_of_Bergamo_Lombardy.html,4.0,cibo economico,+39035763909,Via Passero 16 ,24020, Selvino
Tre Corone Bistrot,https://www.tripadvisor.it/Restaurant_Review-g966813-d10172778-Reviews-Tre_Corone_Bistrot-Aviatico_Province_of_Bergamo_Lombardy.html,4.5,fascia media,+393409880550,Via Ama 58 ,24020, Aviatico
Rifugio 1111,https://www.tripadvisor.it/Restaurant_Review-g644255-d17741214-Reviews-Rifugio_1111-Selvino_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+393382327038,Via Larici c/o cima Monte Purito ,24020, Selvino
Merelli Bar Ristorante,https://www.tripadvisor.it/Restaurant_Review-g187830-d1891357-Reviews-Merelli_Bar_Ristorante-Bergamo_Province_of_Bergamo_Lombardy.html,4.0,cibo economico,+39035514870,Via Salmezza 1 Nembro ,24027, Bergamo
Ristorante Passata,https://www.tripadvisor.it/Restaurant_Review-g1131567-d2289760-Reviews-Passata-Zogno_Province_of_Bergamo_Lombardy.html,4.5,cibo economico,+39034569013,Via Passata 5 ,24019, Zogno
Pizzeria Caffetteria Moderno,https://www.tripadvisor.it/Restaurant_Review-g644255-d5260592-Reviews-Pizzeria_Caffetteria_Moderno-Selvino_Province_of_Bergamo_Lombardy.html,3.0,fascia media,+39035763193,Corso Monte Rosa 48 ,24020, Selvino
Ristorante Pizzeria K2,https://www.tripadvisor.it/Restaurant_Review-g644255-d3411842-Reviews-Ristorante_Pizzeria_K2-Selvino_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+39035763313,Via Aviatico 28 ,24020, Selvino
Bar Pizzeria Gelateria Centrale,https://www.tripadvisor.it/Restaurant_Review-g966813-d6823288-Reviews-Bar_Pizzeria_Gelateria_Centrale-Aviatico_Province_of_Bergamo_Lombardy.html,4.5,fascia media,+39035779085,via Cantul 1 Aviatico ,24020, Aviatico
Ristorante del Rifugio Monte Poieto,https://www.tripadvisor.it/Restaurant_Review-g966813-d2251368-Reviews-Ristorante_del_Rifugio_Monte_Poieto-Aviatico_Province_of_Bergamo_Lombardy.html,3.5,fascia media,+39035779184,Localita Monte Poieto ,24020, Aviatico
26 Grani,https://www.tripadvisor.it/Restaurant_Review-g644255-d25237316-Reviews-26_Grani-Selvino_Province_of_Bergamo_Lombardy.html,4.0,,+393426795907,Via Monte Bianco 26 ,24020, Selvino
L'isola che non c'è,https://www.tripadvisor.it/Restaurant_Review-g644255-d18344325-Reviews-L_isola_che_non_c_e-Selvino_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+393492553574,Via Monte Bianco 7 ,24020, Selvino
Trattoria Pizzeria Felicita,https://www.tripadvisor.it/Restaurant_Review-g966813-d3486379-Reviews-Trattoria_Pizzeria_Felicita-Aviatico_Province_of_Bergamo_Lombardy.html,3.0,fascia media,+39035764844,Frazione Ganda ,24020, Aviatico
Locanda Felicita,https://www.tripadvisor.it/Restaurant_Review-g966813-d3682567-Reviews-Locanda_Felicita-Aviatico_Province_of_Bergamo_Lombardy.html,3.5,fascia media,+39035754854,Via Ganda 83 Frazione Ganda ,24020, Aviatico
